"Time","Latitude","Longitude","Depth_Km","Magnitude"
"42674.71511608797","42.9672","13.056","10.5","2"
"42674.71650405093","42.9988","13.0477","8.9","2.1"
"42674.71890972222","42.9058","13.038","10","2.3"
"42674.72239039352","42.8678","13.0207","8.699999999999999","2.4"
"42674.72461909722","42.769","13.1592","11.4","2.3"
"42674.72513819444","42.9032","13.1612","9.4","2.2"
"42674.72557881945","42.8527","13.0842","10","2"
"42674.72894918981","42.7543","13.1792","10.8","2.9"
"42674.73149270834","42.7107","13.2352","13.6","2.8"
"42674.73771840278","42.8018","13.1332","10.3","2.3"
"42674.73965104167","42.8678","13.0963","10.7","2.8"
"42674.7438193287","42.8027","13.164","10.7","2.5"
"42674.7447525463","42.8893","13.195","7.8","2.3"
"42674.74684965278","42.8998","13.1448","8.199999999999999","3.4"
"42674.74903773148","42.7698","13.1473","9.300000000000001","2.8"
"42674.75053668981","42.7737","13.1355","11.1","2.1"
"42674.75146446759","42.9002","13.1482","8.6","2.3"
"42674.75515717592","42.8748","13.0673","10","2.3"
"42674.75678935185","42.9035","13.0257","12.8","2.1"
"42674.75770138889","42.9003","13.1617","8.300000000000001","2.2"
"42674.76168414352","42.7688","13.1603","10","2.2"
"42674.76363518518","42.8433","13.1363","8.300000000000001","2.2"
"42674.76884930555","42.8895","13.0387","10.1","2.2"
"42674.77144131945","43.0718","13.0613","8.800000000000001","2.9"
"42674.77492638889","42.8795","13.1853","8.199999999999999","2.3"
"42674.77903622685","42.8057","13.1779999999999","8.6","2.6"
"42674.77993136574","42.8463","13.1572","10.5","3.1"
"42674.78575370371","42.7902","13.0652","9.300000000000001","2.4"
"42674.78828634259","42.9272","13.0307","16","2.2"
"42674.79116458333","42.8902","13.0652","10","2.8"
"42674.79193969908","42.754","13.1942","10.5","2.4"
"42674.79361215277","42.9318","13.0397","11.1","2.3"
"42674.79612673611","42.7447","13.1783","12.5","2.3"
"42674.80190416667","42.765","13.0518","10.3","3.2"
"42674.80330462963","42.8038","13.167","8.9","2.1"
"42674.80582604167","42.9388","13.2022","6.2","2.2"
"42674.80988564814","42.7773","13.1927","10.2","2.2"
"42674.81323819445","42.8313","13.0345","10.9","2.7"
"42674.81434826389","42.8652","13.0343","10.8","2.4"
"42674.81759849537","42.8093","13.2618","7.7","2"
"42674.81980509259","42.9453","13.1968","7.8","3.1"
"42674.82315625","42.8225","13.1698","10.9","2.7"
"42674.82390532408","43.0173","13.0802","9.300000000000001","2.7"
"42674.82826921297","42.8532","13.0163","10.6","2.5"
"42674.8321724537","42.7383","13.149","18.8","3.1"
"42674.83371747685","42.7913","13.1758","9","2.3"
"42674.84271226852","42.8993","13.1632","9","2.6"
"42674.8494875","43.0212","13.1158","9.4","2.3"
"42674.85344398148","42.8307","13.1395","10.3","2.2"
"42674.85426585648","42.8552","13.0115","10.9","2.3"
"42674.85626585648","43.0413","13.0725","8.300000000000001","2.6"
"42674.85654409722","42.7907","13.1537","8.699999999999999","2.5"
"42674.85894803241","42.8905","13.1883","10","2.1"
"42674.86040300926","42.8227","13.045","9.6","2"
"42674.86369456018","42.9495","13.1112","12.9","2.5"
"42674.86663726852","42.8078","13.1503","11.2","2.3"
"42674.86732511574","42.7642","13.1538","10.1","2.2"
"42674.86825925926","42.5322","13.2573","10.9","2.4"
"42674.86927013889","42.9517","13.1963","6.4","2.4"
"42674.87172974537","42.7653","13.2162","11","2.8"
"42674.87275578704","43.0368","13.0998","6.9","3"
"42674.87362337963","42.7567","13.1983","9.9","2"
"42674.87659722222","42.7912","13.093","28.6","2.4"
"42674.87819606481","42.8462","13.183","10.7","2.5"
"42674.87889305555","42.691","13.1997","11.4","2.4"
"42674.88291064815","42.7537","13.2612","11.1","2.2"
"42674.88366643518","42.695","13.1982","11.4","2.3"
"42674.88633101852","42.8672","13.1948","7.4","2.2"
"42674.88775763889","42.6245","13.2633","12.2","2"
"42674.89129722222","42.9952","13.1327","7.8","2.6"
"42674.89506956018","42.8228","13.1507","11","2.9"
"42674.89624224537","42.7272","13.1917","9","2.2"
"42674.89714097222","42.886","13.1608","7.5","2.8"
"42674.89885243055","42.7297","13.1798","14.2","2.2"
"42674.90030949074","42.7598","13.0902","11.1","2"
"42674.90267743055","42.9197","13.1327","9.699999999999999","2.5"
"42674.90599988426","43.0607","13.0923","4","2.2"
"42674.907571875","42.9288","13.2052","8.699999999999999","2.7"
"42674.91241828704","42.7618","13.1759999999999","9.699999999999999","2.3"
"42674.91383472223","42.923","13.206","9.4","2.8"
"42674.91967789352","42.8588","13.2278","10","2.4"
"42674.92298831019","42.7072","13.1553","11.7","2.4"
"42674.9231431713","43.0568","13.0835","7.4","2.7"
"42674.92585046296","42.8147","13.0592","9.9","2.3"
"42674.92717407407","43.0718","13.085","10.7","2.4"
"42674.92788692129","42.778","13.2108","10.8","2.1"
"42674.93351863426","42.9397","13.2147","7.7","3.2"
"42674.93453796296","42.8267","13.1363","9.6","2.4"
"42674.9365349537","42.6862","13.2023","12","2.2"
"42674.94352650463","42.7242","13.1742","8.800000000000001","2.2"
"42674.94518865741","42.7768","13.1072","10","2.7"
"42674.94881527778","42.882","13.1088","10.3","2.4"
"42674.94937407407","42.9307","13.0467","10.5","2.3"
"42674.95017048611","42.8027","13.1407","10.5","2.4"
"42674.95073449074","42.7248","13.114","14.3","2.3"
"42674.95251423611","42.8923","13.2022","7.9","2.8"
"42674.95505405092","42.6845","13.2013","11.2","2.5"
"42674.95695405093","42.8897","13.2105","8.199999999999999","2.3"
"42674.95960416667","42.8112","13.0988","9.5","2.2"
"42674.96143541667","42.8393","13.0668","10.4","2"
"42674.96279085648","42.8893","13.0452","9.800000000000001","2.1"
"42674.96469641204","42.8923","13.1818","14.5","3"
"42674.96584027778","42.7777","13.0518","11.3","2.4"
"42674.96749351852","42.9293","13.2009999999999","8.300000000000001","2.4"
"42674.96789386574","42.9397","13.2032","10.9","2.3"
"42674.9687287037","42.9575","13.2003","7.4","2.3"
"42674.96951516204","42.8703","13.1572","11.7","2.8"
"42674.97029097223","42.9032","13.1465","8.699999999999999","2.8"
"42674.974225","42.7277","13.2132","9.9","2.6"
"42674.98042650463","42.8032","13.205","9.6","2.2"
"42674.98258680556","42.6927","13.2733","10","2.5"
"42674.98291261574","42.8952","13.007","10.1","2.6"
"42674.9858994213","42.8312","13.2078","6.4","2.4"
"42674.98626354166","42.7627","13.0582","10.2","2.5"
"42674.98842604167","42.7157","13.1832","10.2","2"
